"","time_conv","f_id"
"233",2008-09-18,0
"234",2008-09-19,67
"235",2008-09-20,46
"236",2008-09-21,11
"237",2008-09-22,0
"238",2008-09-24,0
"239",2008-09-25,0
"240",2008-09-26,0
"241",2008-09-27,0
"242",2008-09-28,0
"243",2008-09-29,0
"244",2008-09-30,0
"245",2008-10-01,0
"246",2008-10-02,0
"247",2008-10-03,30
"248",2008-10-04,225
"249",2008-10-05,0
"250",2008-10-06,0
"251",2008-10-07,0
"252",2008-10-08,0
"253",2008-10-09,0
"254",2008-10-10,0
"255",2008-10-11,0
"256",2008-10-12,0
"257",2008-10-13,0
"258",2008-10-14,0
"259",2008-10-15,0
"260",2008-10-16,0
"261",2008-10-17,69
"262",2008-10-18,0
"263",2008-10-19,0
"264",2008-10-20,0
"265",2008-10-21,0
"266",2008-10-22,0
"267",2008-10-23,0
"268",2008-10-24,0
"269",2008-10-25,0
"270",2008-10-26,0
"271",2008-10-27,0
"272",2008-10-28,0
"273",2008-10-29,0
"274",2008-10-30,0
"275",2008-10-31,0
"276",2008-11-01,0
"277",2008-11-02,0
"278",2008-11-03,0
"279",2008-11-04,0
"280",2008-11-05,0
"281",2008-11-06,0
"282",2008-11-07,0
"283",2008-11-08,0
"284",2008-11-09,0
"285",2008-11-10,0
"286",2008-11-11,0
"287",2008-11-12,0
"288",2008-11-13,12
"289",2008-11-14,0
"290",2008-11-15,0
"291",2008-11-16,78
"292",2008-11-17,183
"293",2008-11-18,0
"294",2008-11-19,68
"295",2008-11-20,0
"296",2008-11-21,44
"297",2008-11-22,220
"298",2008-11-23,82
"299",2008-11-24,0
"300",2008-11-25,171
"301",2008-11-26,1
"302",2008-11-27,0
"303",2008-11-28,0
"304",2008-11-29,0
"305",2008-11-30,0
"306",2008-12-01,0
"307",2008-12-02,0
"308",2008-12-03,0
"309",2008-12-04,0
"310",2008-12-05,0
"311",2008-12-06,0
"312",2008-12-07,87
"313",2008-12-08,0
"314",2008-12-09,0
"315",2008-12-10,0
"316",2008-12-11,0
"317",2008-12-12,0
"318",2008-12-13,0
"319",2008-12-14,0
"320",2008-12-15,0
"321",2008-12-16,0
"322",2008-12-17,2
"323",2008-12-18,288
"324",2008-12-19,266
"325",2008-12-20,288
"326",2008-12-21,268
