"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp","dow"
"56",1998-02-25,4,0,1,2,0,1,3,1,1,0,0,2,1,"Magadino",NA,8.5,"Wednesday"
"57",1998-02-26,5,2,0,1,0,2,1,4,0,0,1,4,0,"Magadino",NA,6.6,"Thursday"
"58",1998-02-27,2,0,1,0,1,0,1,1,0,0,0,1,1,"Magadino",NA,6.8,"Friday"
"59",1998-02-28,3,0,1,0,0,2,0,3,0,0,1,2,0,"Magadino",NA,6.4,"Saturday"
"60",1998-03-01,4,1,1,2,0,0,2,2,0,0,1,3,0,"Magadino",NA,9,"Sunday"
"61",1998-03-02,4,0,1,0,2,1,1,3,0,0,2,1,1,"Magadino",NA,7.1,"Monday"
"62",1998-03-03,7,1,1,3,1,1,4,3,0,0,4,3,0,"Magadino",NA,6.1,"Tuesday"
"63",1998-03-04,3,0,2,1,0,0,2,1,0,0,1,1,1,"Magadino",NA,6.9,"Wednesday"
"64",1998-03-05,4,1,1,0,0,2,2,2,1,0,1,2,0,"Magadino",NA,10.6,"Thursday"
"65",1998-03-06,8,0,4,3,1,0,2,6,0,0,6,2,0,"Magadino",NA,7,"Friday"
"66",1998-03-07,3,0,2,0,1,0,3,0,0,1,0,1,1,"Magadino",NA,8.2,"Saturday"
"67",1998-03-08,8,0,3,2,1,2,3,5,0,1,2,4,1,"Magadino",NA,10.5,"Sunday"
"68",1998-03-09,3,0,1,0,0,2,2,1,0,0,2,1,0,"Magadino",NA,8.2,"Monday"
"69",1998-03-10,5,1,0,1,2,1,4,1,1,0,2,2,0,"Magadino",NA,5.8,"Tuesday"
"70",1998-03-11,4,0,2,1,1,0,3,1,0,0,2,2,0,"Magadino",NA,3.9,"Wednesday"
"71",1998-03-12,6,0,0,4,2,0,4,2,0,0,4,2,0,"Magadino",NA,4.2,"Thursday"
"72",1998-03-13,6,0,0,1,3,2,3,3,0,0,5,1,0,"Magadino",NA,5,"Friday"
"73",1998-03-14,7,1,2,2,1,1,3,4,1,0,5,0,1,"Magadino",NA,7.7,"Saturday"
"74",1998-03-15,5,1,2,1,1,0,3,2,1,1,1,0,2,"Magadino",NA,14.8,"Sunday"
"75",1998-03-16,5,0,3,0,1,1,4,1,0,1,2,1,1,"Magadino",NA,10.5,"Monday"
"76",1998-03-17,5,1,1,2,1,0,2,3,0,0,4,1,0,"Magadino",NA,13.6,"Tuesday"
"77",1998-03-18,7,0,1,1,2,3,1,6,0,2,3,2,0,"Magadino",NA,12.9,"Wednesday"
"78",1998-03-19,7,1,2,1,2,1,2,5,1,0,3,2,1,"Magadino",NA,10.6,"Thursday"
"79",1998-03-20,6,0,1,3,1,1,5,1,0,1,3,1,1,"Magadino",NA,10.6,"Friday"
"80",1998-03-21,4,0,2,1,1,0,3,1,1,1,1,1,0,"Magadino",NA,11.2,"Saturday"
"81",1998-03-22,6,0,2,0,2,2,4,2,0,0,3,2,1,"Magadino",NA,7.4,"Sunday"
"82",1998-03-23,6,0,3,0,2,1,3,3,1,1,1,0,3,"Magadino",NA,4.9,"Monday"
"83",1998-03-24,3,1,1,0,0,1,2,1,1,0,1,1,0,"Magadino",NA,4.3,"Tuesday"
"84",1998-03-25,10,1,2,2,3,2,4,6,0,0,6,3,1,"Magadino",NA,5.3,"Wednesday"
"85",1998-03-26,2,0,0,0,2,0,1,1,0,0,1,1,0,"Magadino",NA,7.6,"Thursday"
"86",1998-03-27,10,0,2,2,3,3,4,6,0,1,5,3,1,"Magadino",NA,6.8,"Friday"
"87",1998-03-28,3,0,0,2,0,1,3,0,0,0,3,0,0,"Magadino",NA,8.9,"Saturday"
"88",1998-03-29,2,0,1,1,0,0,0,2,0,0,1,1,0,"Magadino",NA,11.2,"Sunday"
"89",1998-03-30,5,1,2,0,1,1,2,3,1,0,2,2,0,"Magadino",NA,11.2,"Monday"
"90",1998-03-31,2,0,0,2,0,0,1,1,0,1,1,0,0,"Magadino",NA,11.2,"Tuesday"
"91",1998-04-01,4,0,4,0,0,0,2,2,1,0,2,1,0,"Magadino",NA,11.8,"Wednesday"
"92",1998-04-02,3,0,0,1,1,1,0,3,0,0,1,2,0,"Magadino",NA,12.1,"Thursday"
"93",1998-04-03,7,1,3,0,0,3,4,3,1,0,4,1,1,"Magadino",NA,11.2,"Friday"
"94",1998-04-04,7,0,1,0,3,3,2,5,1,1,5,0,0,"Magadino",NA,11.9,"Saturday"
"95",1998-04-05,3,0,1,2,0,0,3,0,0,1,0,2,0,"Magadino",NA,10.2,"Sunday"
"96",1998-04-06,4,0,2,1,1,0,3,1,0,1,1,0,2,"Magadino",NA,11.1,"Monday"
"97",1998-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,"Magadino",NA,7.4,"Tuesday"
"98",1998-04-08,2,0,1,1,0,0,2,0,0,0,2,0,0,"Magadino",NA,8.5,"Wednesday"
"99",1998-04-09,5,0,2,1,1,1,1,4,0,0,4,1,0,"Magadino",NA,7.7,"Thursday"
"100",1998-04-10,4,1,1,2,0,0,1,3,0,0,2,2,0,"Magadino",NA,5,"Friday"
"101",1998-04-11,2,1,0,0,0,1,1,1,0,0,1,1,0,"Magadino",NA,3.7,"Saturday"
"102",1998-04-12,3,0,1,0,2,0,1,2,0,1,0,1,1,"Magadino",NA,7.3,"Sunday"
"103",1998-04-13,2,0,0,0,1,1,0,2,0,0,2,0,0,"Magadino",NA,6.5,"Monday"
"104",1998-04-14,7,0,4,2,1,0,5,2,0,1,4,1,1,"Magadino",NA,8.1,"Tuesday"
"105",1998-04-15,7,1,2,1,2,1,3,4,1,0,2,3,1,"Magadino",NA,4.6,"Wednesday"
"106",1998-04-16,2,0,0,2,0,0,1,1,0,0,2,0,0,"Magadino",NA,6.6,"Thursday"
"107",1998-04-17,3,0,2,1,0,0,2,1,0,0,2,0,1,"Magadino",NA,6.8,"Friday"
"108",1998-04-18,7,1,3,1,0,2,6,1,0,1,3,2,1,"Magadino",NA,9.9,"Saturday"
"109",1998-04-19,6,1,2,2,1,0,4,2,3,1,1,0,1,"Magadino",NA,10.4,"Sunday"
"110",1998-04-20,5,0,2,1,0,2,4,1,0,2,2,1,0,"Magadino",NA,10.2,"Monday"
"111",1998-04-21,7,0,2,2,2,1,3,4,1,0,2,3,1,"Magadino",NA,12.3,"Tuesday"
"112",1998-04-22,3,0,1,0,1,1,0,3,0,1,2,0,0,"Magadino",NA,13.8,"Wednesday"
"113",1998-04-23,5,0,2,0,2,1,0,5,1,0,2,0,2,"Magadino",NA,14.9,"Thursday"
"114",1998-04-24,4,1,1,0,0,2,2,2,1,0,1,2,0,"Magadino",NA,16.2,"Friday"
"115",1998-04-25,2,0,0,1,1,0,0,2,0,1,1,0,0,"Magadino",NA,16.5,"Saturday"
"116",1998-04-26,4,1,2,0,1,0,2,2,3,0,0,0,1,"Magadino",NA,14.2,"Sunday"
"117",1998-04-27,4,1,3,0,0,0,4,0,1,1,1,1,0,"Magadino",NA,12.2,"Monday"
"118",1998-04-28,2,0,2,0,0,0,2,0,0,0,1,0,1,"Magadino",NA,9.6,"Tuesday"
"119",1998-04-29,5,0,2,1,2,0,3,2,0,1,3,0,1,"Magadino",NA,9.6,"Wednesday"
"120",1998-04-30,4,1,0,1,1,1,4,0,1,0,3,0,0,"Magadino",NA,9.5,"Thursday"
"121",1998-05-01,2,1,0,0,0,1,2,0,0,0,0,2,0,"Magadino",NA,10.2,"Friday"
"122",1998-05-02,2,0,0,0,2,0,2,0,0,0,1,1,0,"Magadino",NA,12.2,"Saturday"
"123",1998-05-03,3,0,0,1,1,1,2,1,0,0,2,1,0,"Magadino",NA,14.5,"Sunday"
"124",1998-05-04,4,0,2,1,1,0,2,2,0,0,3,0,1,"Magadino",NA,16.2,"Monday"
"125",1998-05-05,6,0,3,1,2,0,3,3,0,0,5,0,1,"Magadino",NA,16.1,"Tuesday"
"126",1998-05-06,3,0,0,1,1,1,2,1,0,0,2,1,0,"Magadino",NA,13.1,"Wednesday"
"127",1998-05-07,3,0,1,0,2,0,0,3,1,0,0,1,1,"Magadino",NA,13.9,"Thursday"
"128",1998-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,"Magadino",NA,15.3,"Friday"
"129",1998-05-09,2,0,0,1,0,1,1,1,0,0,2,0,0,"Magadino",NA,16.9,"Saturday"
"130",1998-05-10,1,1,0,0,0,0,0,1,0,0,0,1,0,"Magadino",NA,18.3,"Sunday"
"131",1998-05-11,4,0,1,0,2,1,3,1,0,0,3,0,1,"Magadino",NA,19,"Monday"
"132",1998-05-12,7,0,2,1,4,0,2,5,1,0,5,0,1,"Magadino",NA,19.9,"Tuesday"
"133",1998-05-13,4,0,2,0,1,1,1,3,0,0,3,1,0,"Magadino",NA,20.2,"Wednesday"
"134",1998-05-14,3,1,0,0,1,1,1,2,0,0,2,1,0,"Magadino",NA,18.7,"Thursday"
"135",1998-05-15,2,0,0,0,0,2,1,1,0,0,1,1,0,"Magadino",NA,18.4,"Friday"
"136",1998-05-16,3,0,2,1,0,0,2,1,0,0,3,0,0,"Magadino",NA,17,"Saturday"
"137",1998-05-17,3,0,1,0,1,1,1,2,0,0,2,0,1,"Magadino",NA,15.9,"Sunday"
"138",1998-05-18,6,0,3,0,1,2,4,2,2,0,1,3,0,"Magadino",NA,16.7,"Monday"
"139",1998-05-19,3,0,0,0,2,1,3,0,0,0,2,1,0,"Magadino",NA,17.3,"Tuesday"
"140",1998-05-20,5,1,1,1,2,0,3,2,2,1,1,1,0,"Magadino",NA,18.7,"Wednesday"
"141",1998-05-21,4,0,2,0,1,1,2,2,0,1,2,0,1,"Magadino",NA,18.3,"Thursday"
"142",1998-05-22,6,1,1,1,2,1,5,1,1,1,4,0,0,"Magadino",NA,20.6,"Friday"
"143",1998-05-23,4,0,2,2,0,0,4,0,0,3,0,1,0,"Magadino",NA,18.4,"Saturday"
"144",1998-05-24,4,0,2,0,2,0,1,3,0,1,3,0,0,"Magadino",NA,15.8,"Sunday"
"145",1998-05-25,10,1,2,2,1,4,6,4,0,0,7,3,0,"Magadino",NA,16.6,"Monday"
"146",1998-05-26,4,0,2,0,2,0,1,3,1,1,2,0,0,"Magadino",NA,16.3,"Tuesday"
"147",1998-05-27,8,0,1,3,2,2,2,6,0,0,6,0,2,"Magadino",NA,13.6,"Wednesday"
"148",1998-05-28,2,0,0,0,0,2,1,1,0,0,1,1,0,"Magadino",NA,13.4,"Thursday"
"149",1998-05-29,5,1,2,1,1,0,1,4,1,2,1,0,1,"Magadino",NA,13.3,"Friday"
"150",1998-05-30,6,1,3,1,1,0,1,5,0,0,2,2,2,"Magadino",NA,16.4,"Saturday"
"151",1998-05-31,4,0,0,3,1,0,1,3,0,0,3,1,0,"Magadino",NA,15.3,"Sunday"
"152",1998-06-01,3,1,2,0,0,0,1,2,1,1,0,1,0,"Magadino",NA,16.6,"Monday"
"153",1998-06-02,2,0,1,1,0,0,0,2,0,0,1,0,1,"Magadino",NA,18.1,"Tuesday"
"154",1998-06-03,4,1,2,0,1,0,0,4,1,1,2,0,0,"Magadino",NA,18.9,"Wednesday"
"155",1998-06-04,2,2,0,0,0,0,2,0,0,0,0,1,1,"Magadino",NA,21.6,"Thursday"
"156",1998-06-05,1,0,0,0,0,1,0,1,0,0,0,1,0,"Magadino",NA,22.1,"Friday"
"157",1998-06-06,4,0,0,1,2,1,0,4,1,0,3,0,0,"Magadino",NA,21.4,"Saturday"
"158",1998-06-07,3,1,1,1,0,0,1,2,1,0,0,2,0,"Magadino",NA,17.6,"Sunday"
"159",1998-06-08,5,0,1,1,1,2,4,1,0,1,3,1,0,"Magadino",NA,19.1,"Monday"
"160",1998-06-09,2,0,1,0,1,0,1,1,1,0,0,1,0,"Magadino",NA,19.8,"Tuesday"
"161",1998-06-10,7,0,2,3,0,2,3,4,1,0,4,1,1,"Magadino",NA,18.2,"Wednesday"
"162",1998-06-11,4,0,3,0,0,1,3,1,0,0,3,0,1,"Magadino",NA,15.8,"Thursday"
"163",1998-06-12,3,0,2,1,0,0,1,2,0,0,2,0,1,"Magadino",NA,17.8,"Friday"
"164",1998-06-13,3,0,0,0,2,1,0,3,0,0,2,1,0,"Magadino",NA,16.5,"Saturday"
"165",1998-06-14,2,0,1,1,0,0,1,1,0,1,1,0,0,"Magadino",NA,16.2,"Sunday"
"166",1998-06-15,3,0,0,2,1,0,2,1,0,0,2,0,1,"Magadino",NA,14.7,"Monday"
"167",1998-06-16,1,1,0,0,0,0,1,0,0,0,0,1,0,"Magadino",NA,16.4,"Tuesday"
"168",1998-06-17,3,1,1,1,0,0,1,2,2,0,0,0,1,"Magadino",NA,18.3,"Wednesday"
"169",1998-06-18,1,0,0,0,1,0,0,1,0,0,1,0,0,"Magadino",NA,18.1,"Thursday"
"170",1998-06-19,4,0,3,0,1,0,0,4,0,1,0,1,2,"Magadino",NA,20.1,"Friday"
"171",1998-06-20,1,0,0,0,0,1,1,0,0,0,1,0,0,"Magadino",NA,21.6,"Saturday"
"172",1998-06-21,1,0,0,1,0,0,0,1,1,0,0,0,0,"Magadino",NA,23.1,"Sunday"
"173",1998-06-22,3,0,1,0,1,1,1,2,0,0,1,1,1,"Magadino",NA,24.4,"Monday"
"174",1998-06-23,4,1,2,1,0,0,2,2,0,0,2,2,0,"Magadino",NA,23.6,"Tuesday"
"175",1998-06-24,3,0,1,0,2,0,1,2,0,0,0,1,2,"Magadino",NA,21.9,"Wednesday"
"176",1998-06-25,2,0,1,0,1,0,0,2,0,1,0,0,1,"Magadino",NA,23.9,"Thursday"
"177",1998-06-26,5,0,1,0,3,1,3,2,1,0,3,0,1,"Magadino",NA,20.7,"Friday"
"178",1998-06-27,2,0,0,0,0,2,0,2,0,0,2,0,0,"Magadino",NA,21.2,"Saturday"
"179",1998-06-28,3,0,2,1,0,0,0,3,0,0,2,0,1,"Magadino",NA,22.6,"Sunday"
"180",1998-06-29,5,0,4,0,1,0,2,3,0,1,2,1,1,"Magadino",NA,23.2,"Monday"
"181",1998-06-30,5,0,0,2,2,1,3,2,1,1,2,0,1,"Magadino",NA,22.7,"Tuesday"
"182",1998-07-01,6,0,5,1,0,0,3,3,1,0,3,1,1,"Magadino",NA,22.2,"Wednesday"
"183",1998-07-02,6,0,3,0,3,0,4,2,0,0,3,2,1,"Magadino",NA,22.2,"Thursday"
"184",1998-07-03,3,0,2,0,0,1,3,0,1,1,1,0,0,"Magadino",NA,19.4,"Friday"
"185",1998-07-04,2,0,1,1,0,0,1,1,0,0,1,1,0,"Magadino",NA,21.5,"Saturday"
"186",1998-07-05,2,0,0,1,1,0,1,1,0,0,2,0,0,"Magadino",NA,22.4,"Sunday"
"187",1998-07-06,3,0,0,1,2,0,3,0,2,0,1,0,0,"Magadino",NA,22.1,"Monday"
"188",1998-07-07,1,0,0,0,0,1,0,1,0,0,1,0,0,"Magadino",NA,19,"Tuesday"
"189",1998-07-08,5,0,0,2,1,2,0,5,1,0,3,1,0,"Magadino",NA,20.8,"Wednesday"
"190",1998-07-09,3,0,2,0,1,0,1,2,0,0,2,0,1,"Magadino",NA,19.5,"Thursday"
"191",1998-07-10,6,0,2,2,0,2,3,3,0,0,3,2,1,"Magadino",NA,21.8,"Friday"
"192",1998-07-11,2,0,2,0,0,0,2,0,0,0,1,1,0,"Magadino",NA,21.5,"Saturday"
"193",1998-07-12,2,0,1,0,1,0,0,2,0,0,1,1,0,"Magadino",NA,22.7,"Sunday"
"194",1998-07-13,6,0,1,0,2,3,2,4,0,2,3,1,0,"Magadino",NA,22.5,"Monday"
"195",1998-07-14,8,1,1,3,3,0,4,4,2,1,5,0,0,"Magadino",NA,23.3,"Tuesday"
"196",1998-07-15,1,1,0,0,0,0,0,1,1,0,0,0,0,"Magadino",NA,20.2,"Wednesday"
